Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IPF12 - Payers Account Number  & Payees Account Number - The source account is not associate with customer itself,BN-142,10186,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 9:06 PM,30/Dec/22 11:13 PM,05/Jan/23 8:53 AM,,,0,FundTransfer,The source account is not associate with customer itself,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be displayed ""The source account is not associate with customer itself""",,,,,0|i00113:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,To Do
IPF11 - Payers Account Number  & Payees Account Number - The source account does not have the necessary balance,BN-141,10185,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 9:04 PM,30/Dec/22 11:07 PM,30/Dec/22 11:03 PM,30/Dec/22 11:07 PM,,0,FundTransfer,The source account does not have the necessary balance,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be shown ""The source account does not have the necessary balance""",,,,,0|i0010v:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter all required fields,Pass,,,Done
IPF10 - Payers Account Number & Payees Account Number - These source and destination account numbers are same,BN-140,10184,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:58 PM,30/Dec/22 11:10 PM,30/Dec/22 11:03 PM,30/Dec/22 11:10 PM,,0,FundTransfer,These source and destination account numbers are same,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be displayed ""These source and destination account numbers are same""",,,,,0|i0010n:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,Done
IPF9 - Payers Account Number  & Payees Account Number - The destination account number is not valid,BN-139,10183,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:56 PM,30/Dec/22 11:13 PM,30/Dec/22 11:00 PM,,,0,FundTransfer,The destination account number is not valid,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be displayed ""The destination account number is not valid""",,,,,0|i0010f:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,To Do
IPF8 - Payers Account Number  & Payees Account Number - The source account does not associated with manager,BN-138,10182,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:53 PM,30/Dec/22 11:13 PM,30/Dec/22 10:50 PM,,,0,FundTransfer,The source account does not associated with manager,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be shown ""The source account does not associated with manager""",,,,,0|i00107:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,To Do
IPF7 - Payers Account Number  & Payees Account Number - The source account doesn't have the necessary balance,BN-137,10181,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:46 PM,30/Dec/22 11:10 PM,30/Dec/22 10:36 PM,30/Dec/22 11:10 PM,,0,FundTransfer,"The source account doesn't have the necessary balance

Test data:

Amount: 5000000000

Submit",,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,"Show an message ""You can't Transfer your account balance is low!!!""",,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be displayed ""The source account doesn't have the necessary balance""",,,,,0|i000zz:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter all required fields,Pass,,,Done
IPF6 - Payers Account Number  & Payees Account Number- These source and destination account numbers are same,BN-136,10180,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:38 PM,30/Dec/22 11:13 PM,30/Dec/22 10:35 PM,,,0,FundTransfer,"These source and destination account numbers are same

Test data:

Payers Account Number: 117381  

Payees Account Number: 117381  

Submit",,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-2,Fund Transfer,,,,These source and destination account numbers are same,,,,,0|i000zr:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,To Do
IPF5 - Verify Payers Account Number & Payees Account Number -These source and destination account numbers are invalid,BN-135,10179,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:35 PM,30/Dec/22 10:27 PM,30/Dec/22 10:08 PM,30/Dec/22 10:27 PM,,0,FundTransfer,"These source and destination account numbers are invalid

Test data:

Payers account no: 45

Payees account no: 67

Amount: 500000

Submit",,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,"Show message ""No details found for this accounts!!!""",,,,,,,,,,BN-2,Fund Transfer,,,,"Message should be shown ""These source and destination account numbers are invalid""",,,,,0|i000zj:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter value in Payers account no + Payees account no field,Pass,,,Done
IPF4- Verify Account No - Account number entered should exist in database,BN-134,10178,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:28 PM,30/Dec/22 11:10 PM,05/Jan/23 10:10 AM,30/Dec/22 11:10 PM,,0,BalanceEnquiry,Account number entered should exist in database,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,"Show message error ""Account does not exist""",,,,,,,,,,BN-1,Balance Enquiry,,,,"Message should be shown ""Account number entered should exist in database""",,,,,0|i000zb:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter all required fields,Pass,,,Done
IPF3-Verify Account No - Customer can view balance of only his accounts,BN-133,10177,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:25 PM,30/Dec/22 11:13 PM,30/Dec/22 10:19 PM,,,0,BalanceEnquiry,Customer can view balance of only his accounts,,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-1,Balance Enquiry,,,,"Message should be shown ""Customer can view balance of only his accounts""",,,,,0|i000z3:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields,Fail,,,To Do
IPF2-Verify Account No - Account number entered should exist in database,BN-132,10176,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 8:10 PM,30/Dec/22 10:18 PM,22/Mar/23 1:18 PM,30/Dec/22 9:54 PM,,0,BalanceEnquiry,"If account number doesn’t exists in dbs, system will show an error

Test data: Account No: 117982 (Account does not exists)",,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,"Message displayed ""Account doesn't exist""",,,,,,,,,,BN-1,Balance Enquiry,,,,"Message should be shown ""Account number doesn't exist""",,,,,0|i000yv:,,BN Sprint 2,,,,,,,,,,,Integratiom,Enter Account No field --> submit,Pass,,,Done
IPF1- Verify Account No- Manager can view balance of accounts associate with him,BN-131,10175,Bug,Open,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,Sam Sam,62995bcbe54087006967b97f,21/Dec/22 4:23 PM,30/Dec/22 11:13 PM,30/Dec/22 10:18 PM,,,0,BalanceEnquiry," Manager can view balance of accounts associate with him

Test data:

Account No: 117381
",,Sam Sam,62995bcbe54087006967b97f,,,,,,,,,No error message shown,,,,,,,,,,BN-1,Balance Enquiry,,,,"Message should be shown ""Manager can view balance of accounts associate with him""",,,,,0|i000yn:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,Enter all required fields --> submit,Fail,,,To Do
WD110 - Description cannot be blank,BN-130,10174,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:10 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Description cannot be blank"" must be shown",,,,,0|i000yf:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD109 - Special characters are not allowed,BN-129,10173,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:09 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Special characters are not allowed"" must be shown",,,,,0|i000y7:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD108 - Characters are not allowed,BN-128,10172,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:08 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Characters are not allowed"" must be shown",,,,,0|i000xz:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD107 - Amount Field must not be blank,BN-127,10171,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:08 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Amount Field must not be blank"" must be shown",,,,,0|i000xr:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD106 - Characters are not allowed,BN-126,10170,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:07 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Characters are not allowed"" must be shown",,,,,0|i000xj:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD105 - Special character are not allowed,BN-125,10169,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:06 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,,,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Special character are not allowed"" must be shown",,,,,0|i000xb:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
WD104 - Account No must not be blank,BN-124,10168,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:06 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Withdrawal,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-13,Withdrawal,,,,"An error message ""Account No must not be blank"" must be shown",,,,,0|i000x3:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP103 - Passwords do not Match,BN-123,10167,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:05 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Passwords do not Match"" must be shown",,,,,0|i000wv:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP102 - Confirm Password must not be blank,BN-122,10166,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:04 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Confirm Password must not be blank"" must be shown",,,,,0|i000wn:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP101 - Choose a difficult Password,BN-121,10165,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:04 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Choose a difficult Password"" must be shown",,,,,0|i000wf:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP100 - Enter at-least one special character,BN-120,10164,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:02 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Enter at-least one special character"" must be shown",,,,,0|i000w7:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP99 - Enter at-least one numeric value,BN-119,10163,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:01 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Enter at-least one numeric value"" must be shown",,,,,0|i000vz:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP98 - New Password must not be blank,BN-118,10162,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:01 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""New Password must not be blank"" must be shown",,,,,0|i000vr:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
CP97 - Old Password must not be blank,BN-117,10161,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,14/Dec/22 12:00 AM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,ChangePassword,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-5,Change Password,,,,"An error message ""Old Password must not be blank"" must be shown",,,,,0|i000vj:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
MS96 - Account No - Characters are not allowed,BN-116,10160,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:59 PM,19/Dec/22 8:44 PM,22/Mar/23 10:52 PM,14/Dec/22 9:41 AM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,"Show An error message ""Characters are not allowed
""",,,,,,,,,,BN-3,Mini Statement,,,,"An error message ""Characters are not allowed
"" must be shown",,,,,0|i000vb:,,BN Sprint 1,,,,,,,,,,,Unit,"1) Enter first character space
2) Press Tab",Pass,,,Done
MS95 - Account No - Special character are not allowed,BN-115,10159,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:58 PM,19/Dec/22 8:39 PM,22/Mar/23 10:52 PM,14/Dec/22 9:43 AM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,"Show An error message ""Special characters are not allowed""",,,,,,,,,,BN-3,Mini Statement,,,,"An error message ""Special characters are not allowed"" must be shown",,,,,0|i000v3:,,BN Sprint 1,,,,,,,,,,,Unit,1) Enter Special Character In Account number Field,Pass,,,Done
MS94 - Account No - Account No must not be blank,BN-114,10158,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:57 PM,19/Dec/22 8:31 PM,22/Mar/23 10:52 PM,14/Dec/22 9:44 AM,,0,MiniStatementPage,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,"Show An error message ""Characters are not allowed
"" ",,,,,,,,,,BN-3,Mini Statement,,,,"An error message ""Characters are not allowed
"" must be shown",,,,,0|i000uv:,,BN Sprint 1,,,,,,,,,,,Unit,"1) Account no cannot have Blank space
2) Press Tab",Pass,,,Done
LG93 - Password must not be blank,BN-113,10157,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:56 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Login,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,,,,,,"An error message ""Password must not be blank"" must be shown",,,,,0|i000un:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
LG92 - User-ID must not be blank,BN-112,10156,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:53 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,Login,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,,,,,,"An error message ""User-ID must not be blank"" must be shown",,,,,0|i000uf:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT91 - Description cannot be blank,BN-111,10155,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 11:51 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Description cannot be blank"" must be shown",,,,,0|i000u7:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT90  -  Special characters are not allowed,BN-110,10154,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:17 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Special characters are not allowed"" must be shown",,,,,0|i000tz:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT89 - Characters are not allowed,BN-109,10153,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:17 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Characters are not allowed"" must be shown",,,,,0|i000tr:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT88 - Amount Field must not be blank,BN-108,10152,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:16 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Amount Field must not be blank"" must be shown",,,,,0|i000tj:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT87 - Characters are not allowed,BN-107,10151,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:16 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Characters are not allowed"" must be shown",,,,,0|i000tb:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
FT86 - Special characters are not allowed,BN-106,10150,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:15 PM,19/Dec/22 8:00 PM,22/Mar/23 1:16 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Special characters are not allowed"" must be shown",,,,,0|i000t3:,,,,,,,,,,,,,Unit,,Skip,,,To Do
FT85 - Payees Account Number must not be blank,BN-105,10149,Story,To Do,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,s1singed,62a2be9ac97b1b00687cf6df,13/Dec/22 10:14 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,,,0,FundTransfer,,,s1singed,62a2be9ac97b1b00687cf6df,,,,,,,,,,,,,,,,,,,BN-2,Fund Transfer,,,,"An error message ""Payees Account Number must not be blank"" must be shown",,,,,0|i000sv:,,BN Sprint 1,BN Sprint 2,BN Sprint 3,,,,,,,,,Unit,,Skip,,,To Do
